0.999909,0.757368,0.160575,-0.511325,-0.944058,-0.935215,-0.488061,0.187026,0.774632,0.999911,762.517
0.999723,0.750801,0.150697,-0.519894,-0.947309,-0.931628,-0.479308,0.19684,0.780918,0.999728,762.528
0.999438,0.744158,0.140804,-0.52841,-0.950464,-0.927947,-0.470508,0.206634,0.787125,0.999444,762.537
0.999053,0.737441,0.130897,-0.536873,-0.953525,-0.924174,-0.461661,0.216408,0.793253,0.999061,762.547
0.998568,0.73065,0.120977,-0.545283,-0.956491,-0.920308,-0.452767,0.22616,0.799303,0.998578,762.557
0.997983,0.723786,0.111044,-0.553638,-0.95936,-0.91635,-0.443828,0.235889,0.805272,0.997995,762.567
0.997298,0.71685,0.101101,-0.561938,-0.962134,-0.9123,-0.434845,0.245595,0.811161,0.997312,762.577
0.996514,0.709842,0.0911469,-0.570181,-0.964812,-0.908159,-0.425818,0.255277,0.816968,0.996529,762.587
0.99563,0.702763,0.0811841,-0.578368,-0.967393,-0.903928,-0.416749,0.264932,0.822694,0.995647,762.597
0.993563,0.688395,0.0612353,-0.594567,-0.972265,-0.895194,-0.398487,0.284163,0.833898,0.993584,762.608
0.991099,0.673751,0.0412619,-0.610527,-0.976748,-0.886102,-0.380065,0.303281,0.844769,0.991124,762.627
0.988239,0.658838,0.021272,-0.626244,-0.98084,-0.876656,-0.361491,0.322277,0.855302,0.988267,762.647
0.98666,0.651283,0.0112734,-0.634009,-0.982739,-0.871801,-0.352149,0.331727,0.860441,0.98669,762.657
0.984983,0.643662,0.00127359,-0.64171,-0.98454,-0.866859,-0.342772,0.341144,0.865493,0.985015,762.667
0.983207,0.635977,-0.0087263,-0.649348,-0.986242,-0.86183,-0.333361,0.350527,0.870459,0.983241,762.677
0.981333,0.628228,-0.0187253,-0.65692,-0.987846,-0.856715,-0.323916,0.359875,0.875338,0.981368,762.687
0.979361,0.620416,-0.0287225,-0.664427,-0.989351,-0.851514,-0.31444,0.369187,0.880129,0.979398,762.697
0.97729,0.612543,-0.0387167,-0.671867,-0.990757,-0.846228,-0.304931,0.378462,0.884832,0.97733,762.707
0.975123,0.604608,-0.0487071,-0.67924,-0.992064,-0.840858,-0.295392,0.387699,0.889447,0.975164,762.717
0.972857,0.596613,-0.0586927,-0.686545,-0.993271,-0.835403,-0.285824,0.396897,0.893973,0.9729,762.727
0.970495,0.588558,-0.0686723,-0.693781,-0.99438,-0.829865,-0.276227,0.406056,0.898409,0.970539,762.737
0.968035,0.580444,-0.0786451,-0.700948,-0.995389,-0.824244,-0.266603,0.415174,0.902756,0.968081,762.747
0.965478,0.572272,-0.08861,-0.708045,-0.996298,-0.818541,-0.256951,0.42425,0.907012,0.965527,762.757
0.962825,0.564043,-0.0985661,-0.715072,-0.997108,-0.812755,-0.247274,0.433284,0.911178,0.962875,762.767
0.960076,0.555757,-0.108512,-0.722026,-0.997818,-0.806889,-0.237573,0.442275,0.915252,0.960128,762.777
0.957231,0.547416,-0.118448,-0.728909,-0.998428,-0.800942,-0.227847,0.451222,0.919235,0.957284,762.787
0.95429,0.53902,-0.128371,-0.735718,-0.998939,-0.794914,-0.218099,0.460123,0.923126,0.954345,762.797
0.951253,0.530571,-0.138282,-0.742454,-0.99935,-0.788807,-0.208329,0.468978,0.926925,0.95131,762.807
0.948121,0.522068,-0.148179,-0.749116,-0.99966,-0.782622,-0.198538,0.477787,0.930631,0.94818,762.817
0.944895,0.513513,-0.158061,-0.755703,-0.999871,-0.776358,-0.188728,0.486548,0.934244,0.944956,762.827
0.938159,0.49625,-0.177776,-0.768649,-0.999992,-0.763597,-0.169051,0.503922,0.94119,0.938223,762.837
0.93465,0.487543,-0.187608,-0.775007,-0.999903,-0.757102,-0.159186,0.512534,0.944521,0.934716,762.847
0.931048,0.478788,-0.197421,-0.781288,-0.999714,-0.750532,-0.149306,0.521095,0.947758,0.931115,762.857
0.927352,0.469985,-0.207214,-0.78749,-0.999424,-0.743886,-0.139411,0.529604,0.950901,0.927422,762.867
0.923564,0.461135,-0.216987,-0.793614,-0.999035,-0.737166,-0.129502,0.53806,0.953948,0.923635,762.877
0.919683,0.452239,-0.226737,-0.799659,-0.998546,-0.730372,-0.119579,0.546462,0.9569,0.919756,762.887
0.915711,0.443297,-0.236465,-0.805623,-0.997957,-0.723505,-0.109645,0.554809,0.959756,0.915785,762.897
0.911647,0.434311,-0.24617,-0.811507,-0.997268,-0.716566,-0.0997003,0.563101,0.962517,0.911723,762.907
0.907492,0.425282,-0.25585,-0.81731,-0.99648,-0.709555,-0.0897453,0.571337,0.965181,0.907569,762.918
0.903246,0.41621,-0.265504,-0.823031,-0.995592,-0.702473,-0.0797814,0.579515,0.967748,0.903325,762.927
0.898909,0.407097,-0.275131,-0.828669,-0.994604,-0.695321,-0.0698094,0.587636,0.970219,0.89899,762.938
0.894483,0.397943,-0.284732,-0.834225,-0.993517,-0.688099,-0.0598305,0.595697,0.972593,0.894566,762.947
0.889967,0.388749,-0.294303,-0.839698,-0.99233,-0.680809,-0.0498456,0.6037,0.974869,0.890052,762.957
0.885363,0.379516,-0.303846,-0.845086,-0.991045,-0.67345,-0.0398557,0.611641,0.977048,0.885449,762.967
0.880669,0.370246,-0.313357,-0.85039,-0.98966,-0.666024,-0.0298618,0.619522,0.97913,0.880757,762.977
0.875888,0.360938,-0.322838,-0.855609,-0.988176,-0.658532,-0.0198649,0.627341,0.981113,0.875978,762.988
0.871019,0.351594,-0.332286,-0.860742,-0.986594,-0.650974,-0.00986609,0.635097,0.982998,0.87111,762.997
